City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,66.7,87,100,7.92,overcast clouds
1,Bluff,NZ,-46.6,168.3333,74.8,53,30,12.97,scattered clouds
2,Busselton,AU,-33.65,115.3333,88.59,35,29,9.33,scattered clouds
3,Tiksi,RU,71.6872,128.8694,-12.3,100,100,6.15,overcast clouds
4,Lorengau,PG,-2.0226,147.2712,83.79,79,81,9.06,light rain
5,Tautira,PF,-17.7333,-149.15,82.42,78,27,16.75,light rain
6,Cape Town,ZA,-33.9258,18.4232,68.41,78,0,3.0,clear sky
7,Chokurdakh,RU,70.6333,147.9167,-16.98,97,100,10.56,overcast clouds
8,Fairbanks,US,64.8378,-147.7164,14.22,85,90,0.0,snow
9,Mar Del Plata,AR,-38.0023,-57.5575,63.09,88,0,5.99,clear sky
10,Cidreira,BR,-30.1811,-50.2056,71.6,83,0,17.16,clear sky
11,Albany,US,42.6001,-73.9662,40.73,95,100,1.45,snow
12,Avarua,CK,-21.2078,-159.775,82.45,74,20,11.5,moderate rain
13,Laguna,US,38.421,-121.4238,48.7,94,20,5.01,few clouds
14,Rikitea,PF,-23.1203,-134.9692,76.46,79,100,20.11,moderate rain
15,Ossora,RU,59.2353,163.0719,-6.63,89,5,5.77,clear sky
16,Victoria,HK,22.2855,114.1577,62.33,76,100,1.01,overcast clouds
17,Barrow,US,71.2906,-156.7887,-11.18,77,90,6.91,overcast clouds
18,Belyy Yar,RU,53.6039,91.3903,-13.14,63,86,0.0,smoke
19,Yellowknife,CA,62.456,-114.3525,-5.28,77,90,13.8,light snow
20,Besikduzu,TR,41.052,39.2284,40.89,66,6,7.23,clear sky
21,Lasa,IT,46.6166,10.7002,38.28,82,100,1.77,overcast clouds
22,Honningsvag,NO,70.9821,25.9704,30.87,61,100,18.45,light snow
23,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,14.97,few clouds
24,San Andres,CO,12.5847,-81.7006,82.42,78,40,9.22,scattered clouds
25,Atuona,PF,-9.8,-139.0333,78.3,74,1,12.93,clear sky
26,Saldanha,ZA,-33.0117,17.9442,62.65,90,12,9.37,few clouds
27,Carnarvon,AU,-24.8667,113.6333,82.47,61,95,9.22,overcast clouds
28,Ushuaia,AR,-54.8,-68.3,53.26,50,75,2.3,broken clouds
29,Oran,DZ,35.6911,-0.6417,56.91,82,40,8.05,scattered clouds
30,Port Lincoln,AU,-34.7333,135.8667,65.43,56,35,17.76,scattered clouds
31,Severo-Kurilsk,RU,50.6789,156.125,31.06,97,100,17.52,snow
32,Vaini,TO,-21.2,-175.2,84.36,79,75,11.5,broken clouds
33,Christchurch,NZ,-43.5333,172.6333,78.48,50,0,8.01,clear sky
34,Longyearbyen,SJ,78.2186,15.6401,22.84,68,20,26.46,few clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,72.32,73,0,8.55,clear sky
36,Port Macquarie,AU,-31.4333,152.9167,83.89,66,19,8.99,few clouds
37,Mataura,NZ,-46.1927,168.8643,74.48,34,14,11.12,few clouds
38,New Norfolk,AU,-42.7826,147.0587,65.75,40,36,1.99,scattered clouds
39,Jamestown,US,42.097,-79.2353,45.09,98,90,5.01,mist
40,Nikolskoye,RU,59.7035,30.7861,3.09,99,100,4.5,overcast clouds
41,Kapaa,US,22.0752,-159.319,78.78,70,20,1.01,few clouds
42,Dinhata,IN,26.1333,89.4667,58.71,55,5,6.62,clear sky
43,Yar-Sale,RU,66.8333,70.8333,-8.59,95,80,11.5,broken clouds
44,Hithadhoo,MV,-0.6,73.0833,82.36,70,61,13.09,broken clouds
45,Ponot,PH,8.452,123.0222,82.27,79,100,15.21,overcast clouds
46,Awbari,LY,26.5921,12.7805,51.49,42,45,8.81,scattered clouds
47,Lebu,CL,-37.6167,-73.65,57.76,87,0,19.01,clear sky
48,Butaritari,KI,3.0707,172.7902,82.44,74,79,12.21,broken clouds
49,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,97,5.01,overcast clouds
50,Beloha,MG,-25.1667,45.05,67.82,82,42,8.46,scattered clouds
51,Mikhaylovskoye,RU,51.8239,79.7172,13.64,97,100,3.62,overcast clouds
52,Thompson,CA,55.7435,-97.8558,-23.64,76,1,4.61,clear sky
53,Paamiut,GL,61.994,-49.6678,29.57,69,28,9.08,scattered clouds
54,Cockburn Town,TC,21.4612,-71.1419,79.03,74,2,14.0,clear sky
