City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ponta Do Sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
1,Bluff,NZ,74.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Busselton,AU,88.59,scattered clouds,-33.65,115.3333,Observatory Guest House
4,Lorengau,PG,83.79,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
6,Cape Town,ZA,68.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
9,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Cidreira,BR,71.6,clear sky,-30.1811,-50.2056,Hotel Castelo
12,Avarua,CK,82.45,moderate rain,-21.2078,-159.775,Paradise Inn
14,Rikitea,PF,76.46,moderate rain,-23.1203,-134.9692,People ThankYou
16,Victoria,HK,62.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
23,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
24,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
25,Atuona,PF,78.3,clear sky,-9.8,-139.0333,Villa Enata
26,Saldanha,ZA,62.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
27,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
30,Port Lincoln,AU,65.43,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
32,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Christchurch,NZ,78.48,clear sky,-43.5333,172.6333,The George
35,Arraial Do Cabo,BR,72.32,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Port Macquarie,AU,83.89,few clouds,-31.4333,152.9167,Rydges Port Macquarie
37,Mataura,NZ,74.48,few clouds,-46.1927,168.8643,Ellie's Villa
38,New Norfolk,AU,65.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
41,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Hithadhoo,MV,82.36,broken clouds,-0.6,73.0833,Scoop Guest House
45,Ponot,PH,82.27,overcast clouds,8.452,123.0222,Jose Dalman Municipal Building
48,Butaritari,KI,82.44,broken clouds,3.0707,172.7902,Isles Sunset Lodge
49,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Beloha,MG,67.82,scattered clouds,-25.1667,45.05,
54,Cockburn Town,TC,79.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
55,Pasni,PK,72.81,overcast clouds,25.2631,63.471,Kashmiri Hotal
62,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
63,Tarakan,ID,81.9,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
67,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
68,Jurado,CO,77.05,light rain,7.1053,-77.7641,
69,Valparaiso,CL,65.48,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
71,Kaeo,NZ,80.33,scattered clouds,-35.1,173.7833,Bushido Lodge
72,Moindou,NC,89.55,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
81,Port Alfred,ZA,69.91,light rain,-33.5906,26.891,The Halyards Hotel
82,Bredasdorp,ZA,66.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
83,Jamame,SO,76.62,light rain,0.0722,42.7506,
84,Presidente Medici,BR,75.6,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
86,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
89,Hilo,US,75.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
90,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
91,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
98,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
103,East London,ZA,69.46,overcast clouds,-33.0153,27.9116,Tu Casa
104,Nouadhibou,MR,64.38,clear sky,20.931,-17.0347,El Medina
106,Porto Belo,BR,75.18,broken clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
113,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
116,Dingle,PH,79.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Caravelas,BR,71.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
118,Pathein,MM,70.23,clear sky,16.7833,94.7333,New Pammawaddy Hotel
119,Kahului,US,78.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
120,Hobart,AU,66.11,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
121,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
123,Port Elizabeth,ZA,65.1,clear sky,-33.918,25.5701,39 On Nile Guest House
127,Hambantota,LK,73.51,clear sky,6.1241,81.1185,Bungalow 63
129,Constitucion,CL,60.87,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
130,Pochutla,MX,77.85,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
132,Bilma,NE,63.46,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
135,Rangpur,BD,60.26,clear sky,25.75,89.25,Hotel Shah Amanat
136,Tarija,BO,62.71,light rain,-21.5355,-64.7296,Hostal Granny
137,Namatanai,PG,84.67,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
138,Kaitangata,NZ,65.93,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
140,Sambava,MG,74.21,overcast clouds,-14.2667,50.1667,Melrose
142,Amravati,IN,62.06,clear sky,20.9333,77.75,Hotel Indrapuri
143,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
144,Codrington,AU,61.74,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
145,San Carlos De Bariloche,AR,64.15,few clouds,-41.1456,-71.3082,Hotel Patagonia
148,Amalapuram,IN,73.78,clear sky,16.5833,82.0167,swayamprabha service apartments
149,Faanui,PF,81.36,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Harper,LR,79.11,few clouds,4.375,-7.7169,Screensaver
151,Upata,VE,75.2,scattered clouds,8.0086,-62.3989,Posada Villa Nela
152,Tuatapere,NZ,74.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
161,Ribeira Grande,PT,63.86,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
162,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
165,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
169,Bengkulu,ID,81.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Dire Dawa,ET,63.93,clear sky,9.5931,41.8661,Samrat Hotel
173,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
174,Ranau,MY,81.25,overcast clouds,5.9538,116.6641,The Second Room
177,Miracema Do Tocantins,BR,72.61,light rain,-9.5618,-48.3967,Miami Apart Hotel
182,Providencia,MX,71.85,broken clouds,28.7167,-111.5833,
184,Vangaindrano,MG,74.01,overcast clouds,-23.35,47.6,Hotel Fanilo
185,Oum Hadjer,TD,69.46,broken clouds,13.2954,19.6966,
186,Angoche,MZ,78.67,overcast clouds,-16.2325,39.9086,Guest House HESADA
188,Lahat,ID,78.75,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
189,Poum,NC,81.73,broken clouds,-20.2333,164.0167,Gîte kajeon
190,Adrar,MR,63.66,clear sky,20.5022,-10.0711,
192,Esperance,AU,72.59,scattered clouds,-33.8667,121.9,Hospitality Esperance
194,Ilo,PE,69.48,broken clouds,-17.6394,-71.3375,Torreblanca Hotel
196,San Juan,AR,85.68,overcast clouds,-31.5375,-68.5364,Hotel Provincial
198,Mayumba,GA,76.19,broken clouds,-3.432,10.6554,LIKWALE LODGE
200,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
202,Lamu,KE,79.57,light rain,-2.2717,40.902,Lamu House
203,Nyimba,ZM,67.21,overcast clouds,-14.5566,30.8149,Dali Dali Lodge
204,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
206,Cabo San Lucas,MX,75.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
208,Dwarka,IN,70.92,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
209,Banda Aceh,ID,80.11,broken clouds,5.5577,95.3222,Sulthan Hotel International
210,Guanambi,BR,67.55,overcast clouds,-14.2233,-42.7814,Leopoldo Hotel
213,Guerrero Negro,MX,60.48,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
215,Puerto Carreno,CO,83.52,clear sky,6.189,-67.4859,Casa Hotel Victoria
219,Broken Hill,AU,80.29,clear sky,-31.95,141.4333,Royal Exchange Hotel
223,Coihaique,CL,60.75,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
224,Anloga,GH,81.32,clear sky,5.7947,0.8973,Pin Drop Hotel
225,Deogarh,IN,62.28,clear sky,21.5333,84.7333,Amit Henej House
227,Blama,SL,72.82,scattered clouds,7.8736,-11.3433,Beanageh Small Bo Chiefdom
228,Chuy,UY,70.72,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
229,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
231,Hervey Bay,AU,85.01,moderate rain,-25.2986,152.8535,Shelly Bay Resort
234,Flinders,AU,77.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Port Augusta,AU,84.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
238,Coahuayana,MX,72.5,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
240,Diffa,NE,65.32,broken clouds,13.3154,12.6113,ProDAF/Diffa
241,Greeneville,US,65.19,broken clouds,36.1632,-82.831,General Morgan Inn and Conference Center
242,Samarai,PG,84.65,overcast clouds,-10.6167,150.6667,Nuli Sapi
243,Palu,ID,86.27,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
244,Ambulu,ID,83.25,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
246,Saint Andrews,US,67.28,clear sky,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
248,General Roca,AR,72.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
249,Moussoro,TD,66.2,few clouds,13.6408,16.4901,Hôtel Salama
250,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
251,Moron,AR,75.02,clear sky,-34.6534,-58.6198,Hotel Morón
253,Mareeba,AU,86.72,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
257,Dunedin,NZ,71.24,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
261,Stephenville,US,71.17,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
264,Monkey Bay,MW,81.28,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
265,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
269,Ourossogui,SN,77.05,overcast clouds,15.6064,-13.3211,Hotel welma
271,Diapaga,BF,71.08,overcast clouds,12.0708,1.7889,
275,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage
277,Tsiroanomandidy,MG,70.74,overcast clouds,-18.7667,46.0333,Hotel Ravinala
278,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
280,Burnie,AU,70.92,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
284,Airai,TL,60.03,moderate rain,-8.9266,125.4092,Juvinal Martin
285,Labuhan,ID,83.68,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
286,Kieta,PG,81.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
287,Kawalu,ID,76.51,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
288,Daru,PG,83.77,light rain,-9.0763,143.2092,Daru Lodge
289,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
290,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
291,Mizan Teferi,ET,60.46,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
293,Manggar,ID,81.81,overcast clouds,-2.8833,108.2667,Guest Hotel
294,San Patricio,US,72.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
296,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
298,Gamba,GA,76.77,overcast clouds,-2.65,10.0,
299,Adre,TD,63.59,overcast clouds,13.4667,22.2,
301,Beyla,GN,70.05,scattered clouds,8.6833,-8.6333,DIAN SINKO
302,Kudahuvadhoo,MV,81.37,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
303,Mount Gambier,AU,65.21,few clouds,-37.8333,140.7667,The Commodore
304,Itarema,BR,80.31,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
306,Castro,BR,61.68,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
307,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
308,Matara,LK,73.6,clear sky,5.9485,80.5353,Amaloh Boutique Resort
314,Ixtapa,MX,72.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
315,Sao Filipe,CV,76.46,broken clouds,14.8961,-24.4956,Hotel Xaguate
316,Araouane,ML,65.34,clear sky,18.9048,-3.5265,
319,Anuradhapura,LK,70.38,few clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
320,Miramar,US,73.42,clear sky,25.9873,-80.2323,Casa Miramar
321,Malinyi,TZ,70.59,scattered clouds,-8.9333,36.1333,
322,Okato,NZ,76.42,scattered clouds,-39.2,173.8833,Goodin Country Garden
323,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
324,Waipawa,NZ,68.63,clear sky,-41.4122,175.5153,Tora Coastal Walk
327,Maceio,BR,80.04,moderate rain,-9.6658,-35.7353,Poutur Pousada
328,Chumphon,TH,78.91,few clouds,10.3333,98.8333,สกาน จ๋า.
330,Rio Grande,BR,72.59,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
332,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
333,Raga,SS,69.17,overcast clouds,8.4596,25.678,
336,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
338,Bontang,ID,82.78,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
339,Trelew,AR,66.72,clear sky,-43.249,-65.3051,Hotel Touring Club
340,Clayton,US,66.56,broken clouds,33.5335,-84.3666,Royal Inn
344,Luganville,VU,85.24,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
346,Santa Maria,BR,69.1,clear sky,-29.6842,-53.8069,Hotel Morotin
349,Rumphi,MW,65.66,overcast clouds,-11.0186,33.8575,Finst Rumphi Earthbag House Lodge
353,Diego De Almagro,CL,68.43,few clouds,-26.3667,-70.05,hotel luna del desierto
354,Marsaxlokk,MT,62.08,clear sky,35.8419,14.5431,Water's Edge
358,Port Blair,IN,79.23,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
360,Oriximina,BR,75.31,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
361,Akyab,MM,66.06,clear sky,20.15,92.9,Hotel Memory
364,Acarau,BR,80.1,overcast clouds,-2.8856,-40.12,castelo pizzaria
365,Tessalit,ML,62.04,clear sky,20.1986,1.0114,
366,Ormara,PK,73.31,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
368,Fare,PF,81.59,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
369,Chicama,PE,69.15,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
370,Bosaso,SO,72.52,scattered clouds,11.2842,49.1816,Red Sea Hotel
371,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
372,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,Taloa Heights
374,Virginia Beach,US,66.25,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
375,Methven,NZ,74.91,clear sky,-43.6333,171.65,Brinkley Resort
376,Rawson,AR,64.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
377,Puerto El Triunfo,SV,73.56,clear sky,13.2833,-88.55,Hotel Jardin
379,Buchanan,LR,78.69,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
380,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
383,Kuruman,ZA,66.99,clear sky,-27.4524,23.4325,Cornerstone Guest House
